LGA,Sex,Cases,Population_ERP,Rate
Casey (C),Male,23,157114,14.64
Casey (C),Female,7,156407,4.48
Greater Geelong (C),Female,2,121750,1.64
Greater Geelong (C),Male,25,116853,21.39
Wyndham (C),Male,40,115097,34.75
Wyndham (C),Female,11,112991,9.74
Whittlesea (C),Female,5,104455,4.79
Hume (C),Male,43,104185,41.27
Brimbank (C),Male,53,103711,51.10
Hume (C),Female,12,103645,11.58
Whittlesea (C),Male,24,103426,23.20
Brimbank (C),Female,7,102030,6.86
Monash (C),Female,3,97257,3.08
Monash (C),Male,23,95593,24.06
Boroondara (C),Female,0,91593,
Whitehorse (C),Female,4,87415,4.58
Moreland (C),Female,5,87157,5.74
Boroondara (C),Male,38,85768,44.31
Moreland (C),Male,70,84934,82.42
Whitehorse (C),Male,14,82678,16.93
Greater Dandenong (C),Male,17,82606,20.58
Mornington Peninsula (S),Female,2,82489,2.42
Knox (C),Female,4,81564,4.90
Kingston (C),Female,1,81022,1.23
Darebin (C),Female,3,79460,3.78
Knox (C),Male,16,79101,20.23
Mornington Peninsula (S),Male,11,78373,14.04
Greater Dandenong (C),Female,7,78346,8.93
Yarra Ranges (S),Female,1,78045,1.28
Kingston (C),Male,32,78001,41.03
Yarra Ranges (S),Male,12,77267,15.53
Glen Eira (C),Female,2,76333,2.62
Darebin (C),Male,35,75562,46.32
Melbourne (C),Female,6,75327,7.97
Melbourne (C),Male,171,72712,235.17
Glen Eira (C),Male,58,72679,79.80
Melton (C),Female,12,71276,16.84
Frankston (C),Female,4,70912,5.64
Melton (C),Male,34,70473,48.25
Frankston (C),Male,20,68599,29.15
Banyule (C),Female,5,65102,7.68
Moonee Valley (C),Female,3,63050,4.76
Manningham (C),Female,0,62874,
Banyule (C),Male,20,62591,31.95
Manningham (C),Male,9,60028,14.99
Moonee Valley (C),Male,35,59918,58.41
Maroondah (C),Female,4,58931,6.79
Stonnington (C),Female,1,58048,1.72
Greater Bendigo (C),Female,2,57048,3.51
Maroondah (C),Male,11,56048,19.63
Port Phillip (C),Female,3,55131,5.44
Greater Bendigo (C),Male,7,54735,12.79
Stonnington (C),Male,133,53558,248.33
Port Phillip (C),Male,123,53427,230.22
Bayside (C),Female,3,53407,5.62
Ballarat (C),Female,0,53234,
Ballarat (C),Male,4,50173,7.97
Bayside (C),Male,12,49330,24.33
Cardinia (S),Female,3,49235,6.09
Cardinia (S),Male,11,48390,22.73
Yarra (C),Female,5,47699,10.48
Hobsons Bay (C),Female,6,47104,12.74
Hobsons Bay (C),Male,29,46288,62.65
Yarra (C),Male,121,45681,264.88
Maribyrnong (C),Male,38,44266,85.84
Maribyrnong (C),Female,3,43089,6.96
Latrobe (C),Female,2,37691,5.31
Latrobe (C),Male,5,36638,13.65
Greater Shepparton (C),Male,4,32625,12.26
Greater Shepparton (C),Female,1,32451,3.08
Nillumbik (S),Female,3,32307,9.29
Nillumbik (S),Male,8,31973,25.02
Mildura (RC),Female,14,27483,50.94
Mildura (RC),Male,13,27081,48.00
Baw Baw (S),Female,4,24976,16.02
Baw Baw (S),Male,5,24032,20.81
Macedon Ranges (S),Female,2,23952,8.35
Macedon Ranges (S),Male,2,23560,8.49
East Gippsland (S),Female,2,22896,8.74
East Gippsland (S),Male,2,22530,8.88
Wellington (S),Male,5,22174,22.55
Wellington (S),Female,0,21291,
Mitchell (S),Male,5,21091,23.71
Mitchell (S),Female,2,20541,9.74
Wodonga (RC),Female,1,20093,4.98
Wodonga (RC),Male,3,19751,15.19
Campaspe (S),Female,1,18780,5.32
Campaspe (S),Male,1,18649,5.36
Warrnambool (C),Female,0,17663,
Bass Coast (S),Female,0,17016,
Warrnambool (C),Male,1,16582,6.03
Moorabool (S),Female,0,16332,
Moorabool (S),Male,3,16326,18.38
Bass Coast (S),Male,2,16301,12.27
Surf Coast (S),Male,1,15242,6.56
Surf Coast (S),Female,1,15203,6.58
Moira (S),Male,3,14723,20.38
Wangaratta (RC),Female,0,14664,
South Gippsland (S),Female,0,14628,
Moira (S),Female,1,14583,6.86
South Gippsland (S),Male,1,14308,6.99
Wangaratta (RC),Male,2,13895,14.39
Golden Plains (S),Male,0,11264,
Colac-Otway (S),Male,2,10778,18.56
Golden Plains (S),Female,1,10665,9.38
Swan Hill (RC),Male,2,10631,18.81
Colac-Otway (S),Female,0,10581,
Swan Hill (RC),Female,0,10273,
Horsham (RC),Female,0,10048,
Glenelg (S),Male,0,9912,
Glenelg (S),Female,0,9814,
Horsham (RC),Male,1,9769,10.24
Mount Alexander (S),Male,9,9575,93.99
Mount Alexander (S),Female,0,9391,
Moyne (S),Male,0,8437,
Moyne (S),Female,0,8256,
Southern Grampians (S),Female,0,8195,
Corangamite (S),Male,1,8183,12.22
Indigo (S),Female,0,8050,
Murrindindi (S),Male,0,7148,
Benalla (RC),Female,1,7128,14.03
Murrindindi (S),Female,0,6845,
Benalla (RC),Male,0,6834,
Central Goldfields (S),Female,0,6526,
Central Goldfields (S),Male,0,6486,
Alpine (S),Female,0,6264,
Ararat (RC),Male,1,6261,15.97
Alpine (S),Male,0,6186,
Northern Grampians (S),Female,1,5805,17.23
Northern Grampians (S),Male,0,5772,
Ararat (RC),Female,0,5446,
Gannawarra (S),Male,1,5317,18.81
Gannawarra (S),Female,0,5246,
Strathbogie (S),Male,0,5181,
Strathbogie (S),Female,0,5148,
Mansfield (S),Male,0,4343,
Mansfield (S),Female,0,4262,
Loddon (S),Male,0,3909,
Pyrenees (S),Male,1,3874,25.81
Loddon (S),Female,0,3646,
Yarriambiack (S),Male,0,3442,
Pyrenees (S),Female,0,3427,
Yarriambiack (S),Female,0,3296,
Buloke (S),Male,0,3197,
Towong (S),Male,0,3101,
Buloke (S),Female,0,3033,
Hindmarsh (S),Male,0,2900,
Towong (S),Female,1,2872,34.82
Hindmarsh (S),Female,0,2841,
West Wimmera (S),Male,0,1976,
West Wimmera (S),Female,0,1936,
Queenscliffe (B),Female,0,1518,
Queenscliffe (B),Male,0,1386,
Total,All,1578,6178362,25.54
