Category,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Major cities,1247,1549,1847,2402,3201,3815,4478,4084,4406,4666
Regional,214,231,368,535,780,751,791,700,617,728
Remote,81,107,251,247,296,360,479,442,552,447
Missing,177,152,311,196,125,133,152,129,179,195
Grand Total,1719,2039,2777,3380,4402,5059,5900,5355,5754,6036
