Year,North_QLD,Central_QLD,South_East_QLD,Total
2012,99.5,19.4,39.7,60.6
2013,88.9,28.5,33.2,55.3
2014,127.4,18.5,27.1,66.5
2015,178.8,21.2,35.8,92.0
2016,253.6,17.7,41.6,121.8
2017,333.5,25.7,87.8,172.6
2018,194.3,66.7,109.5,134.0
2019,215.7,93.0,91.8,140.5
2020,128.9,54.9,106.1,104.1
2021,108.1,64.6,99.5,95.3
2022,85.9,114.3,136.2,112.3
2023,106.7,100.5,85.2,96.0
2024,146.2,113.8,106.1,122.0
