Geography,Population_group,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,Major cities female,0.75094807,0.49961233,0.83049226,1.7486284,2.7036684,3.2647452,4.60144,5.2861476,5.6005101,6.0486064
Australia,Regional female,1.478555,1.9563816,3.017288,4.5391884,9.305788,8.6167221,9.4771557,8.2006121,7.204895,9.5321522
Australia,Remote female,18.70509,31.308039,57.825787,65.530731,74.659904,95.182655,136.71205,123.05453,163.84291,124.65513
Australia,Major cities male,14.500701,18.108082,20.887156,26.009872,33.370914,38.97324,44.041851,38.696087,42.03643,43.608376
Australia,Regional male,6.0189357,6.2927337,10.232391,14.701239,18.831083,18.310444,18.874762,17.121017,15.453693,17.126375
Australia,Remote male,15.61513,17.421223,52.585346,46.322777,60.932747,71.129402,96.246719,93.965942,117.40896,104.03465
