LGA,Sex,Cases,Population_ERP,Rate
Casey (C),Male,31,157114,19.73
Casey (C),Female,9,156407,5.75
Greater Geelong (C),Female,5,121750,4.11
Greater Geelong (C),Male,34,116853,29.10
Wyndham (C),Male,63,115097,54.74
Wyndham (C),Female,12,112991,10.62
Whittlesea (C),Female,8,104455,7.66
Hume (C),Male,25,104185,24.00
Brimbank (C),Male,29,103711,27.96
Hume (C),Female,11,103645,10.61
Whittlesea (C),Male,21,103426,20.30
Brimbank (C),Female,1,102030,0.98
Monash (C),Female,0,97257,
Monash (C),Male,26,95593,27.20
Boroondara (C),Female,6,91593,6.55
Whitehorse (C),Female,5,87415,5.72
Moreland (C),Female,5,87157,5.74
Boroondara (C),Male,33,85768,38.48
Moreland (C),Male,37,84934,43.56
Whitehorse (C),Male,9,82678,10.89
Greater Dandenong (C),Male,14,82606,16.95
Mornington Peninsula (S),Female,4,82489,4.85
Knox (C),Female,2,81564,2.45
Kingston (C),Female,3,81022,3.70
Darebin (C),Female,0,79460,
Knox (C),Male,10,79101,12.64
Mornington Peninsula (S),Male,11,78373,14.04
Greater Dandenong (C),Female,4,78346,5.11
Yarra Ranges (S),Female,4,78045,5.13
Kingston (C),Male,19,78001,24.36
Yarra Ranges (S),Male,10,77267,12.94
Glen Eira (C),Female,3,76333,3.93
Darebin (C),Male,41,75562,54.26
Melbourne (C),Female,9,75327,11.95
Melbourne (C),Male,143,72712,196.67
Glen Eira (C),Male,50,72679,68.80
Melton (C),Female,20,71276,28.06
Frankston (C),Female,8,70912,11.28
Melton (C),Male,28,70473,39.73
Frankston (C),Male,35,68599,51.02
Banyule (C),Female,3,65102,4.61
Moonee Valley (C),Female,2,63050,3.17
Manningham (C),Female,2,62874,3.18
Banyule (C),Male,11,62591,17.57
Manningham (C),Male,5,60028,8.33
Moonee Valley (C),Male,29,59918,48.40
Maroondah (C),Female,1,58931,1.70
Stonnington (C),Female,1,58048,1.72
Greater Bendigo (C),Female,2,57048,3.51
Maroondah (C),Male,8,56048,14.27
Port Phillip (C),Female,4,55131,7.26
Greater Bendigo (C),Male,2,54735,3.65
Stonnington (C),Male,99,53558,184.85
Port Phillip (C),Male,75,53427,140.38
Bayside (C),Female,1,53407,1.87
Ballarat (C),Female,1,53234,1.88
Ballarat (C),Male,7,50173,13.95
Bayside (C),Male,10,49330,20.27
Cardinia (S),Female,4,49235,8.12
Cardinia (S),Male,11,48390,22.73
Yarra (C),Female,2,47699,4.19
Hobsons Bay (C),Female,0,47104,
Hobsons Bay (C),Male,20,46288,43.21
Yarra (C),Male,72,45681,157.61
Maribyrnong (C),Male,31,44266,70.03
Maribyrnong (C),Female,0,43089,
Latrobe (C),Female,0,37691,
Latrobe (C),Male,7,36638,19.11
Greater Shepparton (C),Male,14,32625,42.91
Greater Shepparton (C),Female,1,32451,3.08
Nillumbik (S),Female,1,32307,3.10
Nillumbik (S),Male,8,31973,25.02
Mildura (RC),Female,12,27483,43.66
Mildura (RC),Male,5,27081,18.46
Baw Baw (S),Female,2,24976,8.01
Baw Baw (S),Male,12,24032,49.93
Macedon Ranges (S),Female,4,23952,16.70
Macedon Ranges (S),Male,3,23560,12.73
East Gippsland (S),Female,1,22896,4.37
East Gippsland (S),Male,2,22530,8.88
Wellington (S),Male,9,22174,40.59
