Geography,Population_group,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,Aboriginal and Torres Strait Islander major cities,13.061447,16.904451,20.516087,26.272675,35.334637,50.573025,62.010731,72.972908,75.397354,85.138786
Australia,Aboriginal and Torres Strait Islander regional areas,15.543417,30.058344,51.811836,73.089912,125.09908,98.481194,108.62799,72.790619,51.355408,65.557365
Australia,Aboriginal and Torres Strait Islander remote areas,44.327618,63.581669,145.45636,148.6769,176.25999,209.10619,295.75388,267.64764,337.47223,273.3826
Australia,Non-Indigenous major cities,7.5088315,9.1260958,10.667098,13.638183,17.692566,20.550304,23.617813,21.065632,22.887133,23.684483
Australia,Non-Indigenous regional areas,2.9060357,2.3665993,3.8003488,5.4258599,6.7321215,8.03234,7.8716531,8.5335999,8.268774,9.394186
Australia,Non-Indigenous remote areas,1.7557248,0.28823709,2.0947654,3.2280648,6.764708,7.647491,5.3118434,6.7931104,4.5646057,7.802835
