Category,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Female,149,161,288,414,655,736,971,961,1040,1063
Male,1569,1877,2486,2957,3730,4306,4903,4372,4693,4943
Missing,1,1,3,9,17,17,26,22,21,30
Grand Total,1719,2039,2777,3380,4402,5059,5900,5355,5754,6036
