Category,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0-14,8,11,17,17,24,9,33,18,15,12
15-29,490,647,1014,1220,1624,1832,2087,1846,1869,1897
30-34,268,299,433,538,731,825,1054,968,1149,1175
35-39,215,264,318,434,545,666,813,772,886,944
40+,738,818,995,1171,1478,1727,1913,1751,1835,2008
Grand Total,1719,2039,2777,3380,4402,5059,5900,5355,5754,6036
