nhsd_service_id,organization,address,city,state,postcode,latitude,longitude,service_category
9cac9a5c-e7ab-4415-97ec-18df558b75e6,Western Sydney Sexual Health Centre - Mt Druitt Clinic,"Kelly Close Services,Kelly Close",MOUNT DRUITT,NSW,2770,-33.76636723178729,150.82203522814402,sexual_health
5f2e189a-dc8d-a695-bba6-3c7e5daf2003,Orange Sexual Health Clinic,"Orange Health Service,96 KITE STREET",ORANGE,NSW,2800,-33.28599664,149.09921633,sexual_health
a64f7034-700d-7d1a-8aad-d3acade4f82d,Sunshine Coast Sexual Health Service,2 WEST TERRACE,CALOUNDRA,QLD,4551,-26.80192925,153.11998655,sexual_health
fcd3d7eb-806d-c673-4f6d-cce69b0b5d1f,Sexual Health Clinic RPH,"Ainslie House,Level 4,48 Murray Street",PERTH,WA,6000,-31.95456314086914,115.86393737792969,sexual_health
6a231a8b-5079-e202-ea2c-9d2a07622611,Family Planning NSW Fairfield,24-26 Nelson Street,FAIRFIELD,NSW,2165,-33.86863327026367,150.95457458496094,sexual_health
70176b10-4d8c-7eb4-f3c2-bae39697c2c8,Family Planning NSW Penrith,13 Reserve Street,PENRITH,NSW,2750,-33.756134033203125,150.6939239501953,sexual_health
9a4d2cad-dffd-268f-3b19-388bb32eb2ba,Family Planning NSW - Hunter,384 Hunter Street,NEWCASTLE,NSW,2300,-32.92659378051758,151.773681640625,sexual_health
aa717099-5099-74b0-ee61-08a149305959,Family Planning NSW,8 HOLKER STREET,NEWINGTON,NSW,2127,-33.83240312,151.05587784,sexual_health
9586ff89-e409-def2-4caf-572d648876f4,Family Planning NSW Dubbo,"Unit 2B,155 Macquarie Street",DUBBO,NSW,2830,-32.249385833740234,148.60025024414062,sexual_health
10cd3ab4-d58b-0e3f-a88e-affb804d58e4,Blood Borne Virus & Sexual Health Service,92 Bolsover Street,ROCKHAMPTON CITY,QLD,4700,-23.37474231,150.50878593,sexual_health
48135772-8e4c-4726-7a30-ddb5e9836ea8,True Relationships & Reproductive Health - Gold Coast,"Level 15,2 Corporate Court",BUNDALL,QLD,4217,-27.998136520385742,153.4136199951172,sexual_health
511f8ebc-4f1d-9d62-112b-196b545265bc,True Relationships & Reproductive Health - Sunshine Coast,"Unit 4,8 Denna Street",MAROOCHYDORE,QLD,4558,-26.643281936645508,153.06814575195312,sexual_health
536a3534-d9b4-af19-acb2-5eb16cc0a0f2,Clinic 34 - Nhulunbuy,Corner Chesterfield and Matthew Flinders Way,NHULUNBUY,NT,0880,-12.18669319152832,136.7801971435547,sexual_health
a61897ba-4c46-43a7-b350-38e3e7b53e07,Goulburn Sexual Health and Hepatitis C Service,Corner Goldsmith and Faithful Street,GOULBURN,NSW,2580,-34.74776534450491,149.71457144059295,sexual_health
bd2b9296-aa65-4bae-a3ef-1a5d734c96bf,Queanbeyan Sexual Health and Hepatitis C Service,Corner Collett Street and Erin Street,QUEANBEYAN,NSW,2620,-35.34725408416235,149.23278817570164,sexual_health
997cdf88-2fed-e61e-631e-1edd7b0d988c,Adelaide Sexual Health Centre,260 CURRIE STREET,ADELAIDE,SA,5000,-34.92450864,138.58855696,sexual_health
788974a0-1df1-4fd6-ae75-b5c7d2ad475d,True Relationships & Reproductive Health  - Cairns,"Solander Centre,Ground Floor,182 Grafton Street",CAIRNS CITY,QLD,4870,-16.91783441,145.771217,sexual_health
4105c3d1-6a64-db51-ed0a-8e3ce2e83bbd,Redlands Family Planning,1 Bunker Road,VICTORIA POINT,QLD,4165,-27.58518409729004,153.28152465820312,sexual_health
5fd2a12f-5500-83cd-63d0-a94eff5621ae,Aboriginal Health Team,240 Hardey Road,BELMONT,WA,6104,-31.95275115966797,115.94078826904297,aboriginal_health
199b44c7-bfff-92f6-3969-d936131fea92,Wurli Wurlinjang Health Service,25 Third Street,KATHERINE,NT,0850,-14.460789680480957,132.26490783691406,aboriginal_health
dd2db179-3f51-11ce-087f-371a4554728f,Coomealla Health Aboriginal Corporation Dareton,51 Sturt Place,DARETON,NSW,2717,-34.09506607055664,142.0442352294922,aboriginal_health
1b98eca2-9431-819f-4c7c-647449e043f4,Galangoor Duwalami Primary Health Care Service - Hervey Bay,7-11 Central Avenue,HERVEY BAY,QLD,4655,-25.28858184814453,152.83316040039062,aboriginal_health
e6145720-8a99-52f1-09a1-f5b9c5b6459e,Yulu-Burri-Ba Aboriginal Corporation (North Stradbroke Island),16 Dickson Way,DUNWICH,QLD,4183,-27.491352081298828,153.40652465820312,aboriginal_health
b2252a11-90ca-40af-58c2-0ddd1de3714d,Caboolture Hospital - Aboriginal And Torres Strait Islander Hospital Liaison,120-124 McKean Street,CABOOLTURE,QLD,4510,-27.0791072845459,152.96466064453125,aboriginal_health
0e1cacf2-d4db-6bd8-742a-2e61f0373982,Mount Isa Hospital - Indigenous Health Services,30 Camooweal Street,MOUNT ISA CITY,QLD,4825,-20.730871200561523,139.4952850341797,aboriginal_health
83d0aab9-fc7a-d665-6a59-ffdbb31096f1,Dubbo Regional Aboriginal Medical Service,48-50 Wingewarra Street,DUBBO,NSW,2830,-32.24879455566406,148.60272216796875,aboriginal_health
3b541e2f-b9ef-a243-fc5c-30ceb91db594,Bawrunga Aboriginal Medical Centre - Nambucca Heads,1 Marshall Way,NAMBUCCA HEADS,NSW,2448,-30.653284072875977,152.9865264892578,aboriginal_health
b19e0135-a462-dbea-a29a-a66184cee914,Charleville and Western Areas Aboriginal and Torres Strait Islanders Community Health - Quilpie - Outreach Service,49 Brolga Street,QUILPIE,QLD,4480,-26.612953186035156,144.26634216308594,aboriginal_health
513b5176-1c18-77fa-74c7-bdbbab5a8e8e,Ngangganawili Aboriginal Health Service (NAHS),44 Scotia Street,WILUNA,WA,6646,-26.595165252685547,120.22808074951172,aboriginal_health
ba9bf7e1-8b2c-e90f-20fd-4810649b2a55,Charleville and Western Areas Aboriginal and Torres Strait Islanders Community Health - Roma,60A Charles Street,ROMA,QLD,4455,-26.570554733276367,148.79287719726562,aboriginal_health
a2845122-1d77-6947-c74c-3742bf2f8e1d,Tharawal Aboriginal Corporation,21 DEANS ROAD,AIRDS,NSW,2560,-34.08107801,150.83359719,aboriginal_health
34385503-4e97-666a-5555-1a720f879ce7,Wathaurong Aboriginal Co-operative,62 Morgan Street,NORTH GEELONG,VIC,3215,-38.099822998046875,144.34939575195312,aboriginal_health
2a9f7af3-7cbe-4b67-6e81-0f64da4d4a2e,Aboriginal and Torres Strait Islander Community Health Service - Logan,41 Station Road,LOGAN CENTRAL,QLD,4114,-27.63750457763672,153.10386657714844,aboriginal_health
ca3b7e57-2643-f389-72c5-5247c3e6de81,Looma Aboriginal Community,Looma Community Via Derby,DERBY,WA,6728,-17.305082321166992,123.63086700439453,aboriginal_health
cba0f530-f05b-4f37-6173-8c202a745854,Katungul Aboriginal Corporation Regional Health and Community Services - Bega,25 Bega Street,BEGA,NSW,2550,-36.67235,149.847477,aboriginal_health
dff65c71-016e-4c87-3820-b9bea3916fc2,Rumbalara Aboriginal Co-Operative Ltd,20 Rumbalara Road,MOOROOPNA,VIC,3629,-36.40473556518555,145.35350036621094,aboriginal_health
28776a7b-13a0-e4e0-e880-cc537f769dfb,Geraldton Regional Aboriginal Medical Service (GRAMS),"Aboriginal Medical Centre,60 Rifle Range Road",RANGEWAY,WA,6530,-28.784849166870117,114.62938690185547,aboriginal_health
377546c2-d1ce-be31-2df6-60a36c5e471d,Kalgoorlie Aboriginal Medical Centre,16 18 MacDonald Street,KALGOORLIE,WA,6430,-30.746604919433594,121.47665405273438,aboriginal_health
2141739b-992e-4095-92c7-d413d6015642,Royal Prince Alfred Hospital - Aboriginal Women and Babies,"Building 75,Level 5,50 Missenden Road",CAMPERDOWN,NSW,2050,-33.88913,151.183109,aboriginal_health
f2429359-6092-fe80-8bb2-cb0de75d20b5,Yadu Health Aboriginal Corporation,11 MCKENZIE STREET,CEDUNA,SA,5690,-32.1254474338854,133.6749038711638,aboriginal_health
79dda42a-4ee8-e41e-9576-ba26d67df293,Miwatj Health Aboriginal Corporation - Yirrkala,144 Rankine Road,YIRRKALA,NT,0880,-12.25041675567627,136.893310546875,aboriginal_health
7becbf39-d106-5033-a6b9-4dae54deb8fb,Ramahyuck Aboriginal Health Services Medical Clinic,15-17 COLLINS STREET,MORWELL,VIC,3840,-38.23491278,146.39684049,aboriginal_health
f0e22dbb-fcfb-1cbf-e36f-8a219d7614c4,Bendigo and District Aboriginal Cooperative,119 PROUSES ROAD,NORTH BENDIGO,VIC,3550,-36.72869362,144.27855737,aboriginal_health
cf2dd41b-c0f4-4b14-9ea4-2492e3b86f42,First Peoples' Health and Wellbeing - Thomastown Clinic,258 SETTLEMENT ROAD,THOMASTOWN,VIC,3074,-37.69281243,145.03007212,aboriginal_health
aca65cb3-222b-653e-ab55-b3d18ba126ea,Pika Wiya Health Service,30-46 Dartmouth Street,PORT AUGUSTA,SA,5700,-32.49441909790039,137.77703857421875,aboriginal_health
d3be80c4-bef1-8418-a16f-66024ceeae5f,Moorundi Aboriginal Community Controlled Health Service,2 Clara Street,MURRAY BRIDGE,SA,5253,-35.119476318359375,139.27224731445312,aboriginal_health
57015267-132e-e9db-c87a-4c463a531727,Bidgerdii Mount Morgan Medical Service,83 Morgan Street,MOUNT MORGAN,QLD,4714,-23.644977569580078,150.38905334472656,aboriginal_health
3ebaeb48-1f10-482b-da1c-9b88bdbd84a8,CRAICCHS - Cherbourg Regional Aboriginal & Islander Community Controlled Health Services,Corner Bligh and Broadway Street,CHERBOURG,QLD,4605,-26.28912925720215,151.9560546875,aboriginal_health
